feature,mean_abs_shap
pH_lag1,0.01795303414018087
microcystis_lag1,0.01764250213980511
평균 상대습도(%)_lag3,0.016892163413349946
강우량(mm)_roll14sum,0.016680819012497797
저수율(%)_lag3,0.016547161662242675
총방류량(㎥/s)_roll7m,0.015916172187504015
수위(EL.m),0.014420363305583571
DO(㎎/L)_roll7m,0.013848852102436714
anabaena_roll14max,0.013498769918820732
Chl-a (㎎/㎥)_roll7m,0.013377052510525662
oscillatoria_roll7max,0.012985685179377687
anabaena,0.01295451936007699
microcystis_roll7m,0.01247825427501375
평균 전운량(1/10),0.01187283772780891
최저기온(°C),0.011640788066511955
pH_lag3,0.011482714862221575
Chl-a (㎎/㎥)_lag3,0.011150310709409406
Chl-a (㎎/㎥)_lag7,0.010779721429051729
aphanizomenon_roll7m,0.010507162649349077
total_cyano_lag7,0.010270605298722792
anabaena_roll14m,0.01007662263393584
저수율(%)_roll7m,0.010064667216167323
유입량(㎥/s)_roll7m,0.010038621005880696
Chl-a (㎎/㎥)_roll14m,0.010012425737498278
DO(㎎/L)_lag3,0.009877768212798387
최고기온(°C)_lag3,0.009847128392531348
최고기온(°C)_lag1,0.00971235995071014
수위(EL.m)_lag1,0.00938354340641712
aphanizomenon_lag14,0.00907293930262628
총방류량(㎥/s)_lag3,0.009031637052137624
최고기온(°C),0.008999573446427924
Chl-a (㎎/㎥),0.008401582671483616
강우량(mm)_roll7sum,0.008351332193266926
DO(㎎/L)_lag1,0.008270615492853427
평균 풍속(m/s)_roll7m,0.008047469151399578
Chl-a (㎎/㎥)_roll3m,0.0077006063196411794
microcystis_lag7,0.007132617910287423
aphanizomenon_lag1,0.007091087387144208
microcystis_roll7max,0.007039709402427804
유입량(㎥/s)_lag7,0.006761182112328222
저수량(백만㎥),0.006739397081851193
Chl-a (㎎/㎥)_roll14max,0.0067323747268825595
Chl-a (㎎/㎥)_roll3max,0.0066535179666933324
Chl-a (㎎/㎥)_roll7max,0.006433745070208111
최고기온(°C)_lag7,0.006342225569953858
aphanizomenon_roll3max,0.005976603008403095
microcystis_roll14max,0.005949255488251178
oscillatoria_roll3max,0.005859343613157194
저수율(%)_lag1,0.005269724684661171
anabaena_roll7m,0.005099622356164582
temp_diff_lag1,0.005027896857558791
평균 풍속(m/s)_lag1,0.005025118478754961
Chl-a (㎎/㎥)_lag1,0.004878385596568096
anabaena_lag7,0.004534455776890666
총방류량(㎥/s)_lag1,0.004352612037241042
저수율(%),0.004333345256421308
anabaena_roll3m,0.0041829182672944
aphanizomenon_roll3m,0.004104336233680954
temp_diff,0.004036216981355114
month,0.0039984975834018764
강우량(mm)_lag14,0.003757149289916673
microcystis_roll3m,0.003553499584630934
일강수량(mm)_lag14,0.0033509203154190163
평균 풍속(m/s),0.0033101028867346585
강우량(mm),0.00329696491951205
유입량(㎥/s)_lag3,0.003165027519383334
anabaena_lag1,0.00288278709146351
aphanizomenon_lag3,0.0028676509716582567
microcystis_lag3,0.002670966088088486
평균 상대습도(%)_lag1,0.0025767114643404946
anabaena_roll7max,0.002506433030484683
평균 상대습도(%)_lag7,0.002396647367036466
anabaena_lag3,0.0023322168308252946
합계 일사량(MJ/m2),0.002214567985751114
일강수량(mm)_lag1,0.002130026822118503
강우량(mm)_lag7,0.0019057010864553395
microcystis_roll3max,0.0017412518843848044
합계 일사량(MJ/m2)_lag7,0.001485224028777012
합계 일조시간(hr),0.001296216755798646
합계 일사량(MJ/m2)_lag3,0.0010131403234975743
평균 풍속(m/s)_lag7,0.0009907074896175125
합계 일사량(MJ/m2)_lag1,0.0009903528036739266
강우량(mm)_lag1,0.0009473013873141376
일강수량(mm)_lag3,0.0009053078125637421
